S. No.,University Name,College Name,College Type,State Name,District Name
5381,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI GURUNANAK KANYA DEGREE COLLEGE, GOLA GOKARANNATH, (Id: C-12520)",Affiliated College,Uttar Pradesh,Kheri
5382,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI GURU NANAK MAHAVIDYALAYA, LAKHIMPUR, (Id: C-12591)",Affiliated College,Uttar Pradesh,Kheri
5383,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI HANUMANT PAL MAHAVIDYALAYA, CHUAPIRAN, KADA, (Id: C-12596)",Affiliated College,Uttar Pradesh,Kaushambi
5384,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI JAGDAMBA PRASAD MAHILA MAHAVIDYALAYA, (Id: C-12391)",Affiliated College,Uttar Pradesh,Fatehpur
5385,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI JALIM PRASAD MAHAVIDYALAYA, SHAHPUR, GANGAKHERA, (Id: C-12680)",Affiliated College,Uttar Pradesh,Hardoi
5386,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI KAILASH NATH KATIYAR MAHAVIDYALAYA, SIKANDARA, (Id: C-12427)",Affiliated College,Uttar Pradesh,Kanpur Dehat
5387,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRIKANT MAHAVIDYALAYA, BIDHUNA (Id: C-47800)",Affiliated College,Uttar Pradesh,Auraiya
5388,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI KOMIL SINGH S.D. MAHAVIDYALAYA,LADAITA,CHIBRAMAU (Id: C-47769)",Affiliated College,Uttar Pradesh,Kannauj
5389,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI KRISHNA JANKA DEVI MAHAVIDYALAYA, DILWAL, (Id: C-12393)",Affiliated College,Uttar Pradesh,Kanpur Dehat
5390,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI KRISHNA JANKA DEVI MAHAVIDYALAYA, RURA, (Id: C-12372)",Affiliated College,Uttar Pradesh,Kanpur Dehat
5391,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI KRISHNA MAHILA MAHAVIDYALAYA, FIROZPUR, FULPUR, (Id: C-12131)",Affiliated College,Uttar Pradesh,Allahabad
5392,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI KRISHNA VERMA MAHAVIDYALAYA, BHAWANI KHEDA, (Id: C-12241)",Affiliated College,Uttar Pradesh,Hardoi
